# Constructed from biom file
#OTU ID	OM36	OM37	OM38	OM39	OM40	OM41	OM42	OM43	OM44	OM45	OM46	OM47	OM48	OM49	YM47	YM48	YM49	YM50	YM51	YM52	YM53
321484	0.0	27.0	12.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
320224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
233435	73.0	138.0	0.0	91.0	44.0	212.0	53.0	133.0	205.0	321.0	14.0	28.0	1176.0	666.0	30.0	0.0	152.0	164.0	119.0	88.0	68.0
331043	142.0	112.0	538.0	164.0	22.0	201.0	165.0	188.0	357.0	239.0	450.0	111.0	201.0	316.0	129.0	112.0	273.0	320.0	304.0	177.0	124.0
265793	20.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	32.0	0.0	31.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
233991	190.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	50.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	7.0
38278	1221.0	897.0	1188.0	680.0	0.0	1761.0	267.0	480.0	737.0	297.0	0.0	375.0	176.0	484.0	2579.0	766.0	1306.0	1520.0	885.0	991.0	1138.0
188697	0.0	0.0	0.0	176.0	227.0	0.0	0.0	0.0	0.0	0.0	25.0	15.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
198753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
637934	8.0	0.0	0.0	8.0	0.0	0.0	0.0	21.0	11.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
180869	0.0	0.0	0.0	3.0	9.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
214116	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
195455	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
338926	10.0	18.0	0.0	0.0	64.0	33.0	0.0	0.0	0.0	15.0	34.0	0.0	12.0	25.0	0.0	0.0	9.0	22.0	17.0	26.0	13.0
334751	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
743911	682.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	18.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	18.0	0.0	0.0	0.0
694641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272060	0.0	0.0	0.0	0.0	28.0	441.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191493	20.0	36.0	11.0	29.0	0.0	0.0	0.0	21.0	36.0	23.0	0.0	0.0	80.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
325850	30.0	23.0	33.0	22.0	38.0	63.0	62.0	0.0	11.0	6.0	0.0	20.0	0.0	4.0	63.0	140.0	14.0	13.0	60.0	0.0	3.0
4338798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
4476330	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
307170	0.0	12.0	0.0	25.0	0.0	0.0	0.0	15.0	0.0	20.0	0.0	0.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
270303	14.0	15.0	0.0	21.0	10.0	7.0	0.0	0.0	8.0	7.0	11.0	7.0	20.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337784	10.0	12.0	0.0	9.0	5.0	0.0	0.0	6.0	8.0	8.0	5.0	5.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
192557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181237	0.0	0.0	61.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
