# Constructed from biom file
#OTU ID	CBO1	CBO2	CBO3	CBO4	CBO5	CBO6	CBO7	CBO8	CBY1	CBY2	CBY3	CBY4	CBY5	CBY6	CBY7	CBY8
271647	0.0	0.0	40.0	1902.0	1225.0	775.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
336810	1159.0	1214.0	272.0	63.0	163.0	82.0	227.0	663.0	316.0	481.0	651.0	1414.0	1041.0	313.0	178.0	142.0
195711	1640.0	1661.0	0.0	0.0	102.0	0.0	447.0	1348.0	294.0	959.0	93.0	223.0	229.0	412.0	547.0	664.0
1113282	0.0	0.0	258.0	20.0	0.0	62.0	0.0	0.0	33.0	0.0	159.0	946.0	215.0	33.0	0.0	0.0
4471135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
4462541	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
417981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
276190	488.0	704.0	0.0	0.0	0.0	0.0	162.0	330.0	71.0	285.0	0.0	0.0	0.0	0.0	23.0	70.0
4369131	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
658370	156.0	0.0	0.0	0.0	0.0	0.0	46.0	23.0	0.0	85.0	0.0	0.0	0.0	0.0	9.0	93.0
192963	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
339791	320.0	192.0	0.0	0.0	54.0	0.0	132.0	177.0	25.0	78.0	18.0	0.0	0.0	54.0	71.0	44.0
181419	0.0	0.0	33.0	16.0	0.0	44.0	0.0	0.0	0.0	0.0	26.0	51.0	27.0	18.0	0.0	0.0
211234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	64.0	55.0	0.0	0.0	0.0
181589	0.0	0.0	275.0	0.0	0.0	182.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0
270993	75.0	431.0	88.0	51.0	101.0	154.0	87.0	160.0	84.0	100.0	287.0	227.0	240.0	115.0	37.0	0.0
805699	491.0	111.0	0.0	0.0	160.0	0.0	628.0	566.0	27.0	295.0	0.0	0.0	0.0	172.0	237.0	165.0
270199	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
229452	193.0	54.0	0.0	0.0	23.0	0.0	56.0	150.0	104.0	235.0	0.0	0.0	0.0	79.0	146.0	102.0
180465	330.0	201.0	24.0	42.0	137.0	125.0	39.0	75.0	76.0	145.0	174.0	186.0	144.0	183.0	82.0	96.0
4340153	0.0	0.0	0.0	0.0	11.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
258725	0.0	0.0	29.0	0.0	149.0	37.0	0.0	0.0	54.0	0.0	164.0	219.0	117.0	68.0	0.0	0.0
194518	0.0	0.0	33.0	903.0	931.0	152.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0
194360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
271811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	531.0	173.0	0.0	0.0	0.0
273747	54.0	114.0	0.0	0.0	15.0	13.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
