# Constructed from biom file
#OTU ID	MO1	MO2	MO3	MO4	MO5	MO6	MO7	MO8	MY1	MY2	MY3	MY4	MY5	MY6	MY7	MY8
381666	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	6.0	10.0	6.0	6.0	0.0
175416	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
331782	12.0	12.0	0.0	0.0	0.0	0.0	16.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
344527	0.0	0.0	0.0	4.0	5.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
276561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	33.0	5.0	13.0	47.0	53.0	21.0
272334	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	448.0	20.0	90.0	75.0	105.0	44.0	22.0	72.0
337511	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317653	11.0	0.0	13.0	24.0	26.0	22.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265730	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
259120	0.0	116.0	21.0	77.0	70.0	105.0	63.0	66.0	0.0	10.0	0.0	7.0	0.0	0.0	17.0	0.0
175706	38.0	18.0	556.0	0.0	28.0	34.0	0.0	29.0	6.0	10.0	0.0	20.0	10.0	9.0	9.0	9.0
3013444	120.0	489.0	610.0	316.0	456.0	708.0	174.0	219.0	54.0	96.0	163.0	29.0	88.0	301.0	13.0	115.0
164071	0.0	0.0	0.0	6.0	0.0	12.0	0.0	11.0	0.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0
262724	26.0	0.0	45.0	71.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
196578	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
305026	18.0	0.0	9.0	46.0	41.0	25.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180235	11.0	0.0	0.0	8.0	55.0	10.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
267298	0.0	30.0	0.0	85.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
681370	0.0	5.0	18.0	0.0	0.0	0.0	65.0	23.0	0.0	671.0	4324.0	47.0	0.0	4403.0	3374.0	8160.0
319909	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	46.0	0.0
275069	186.0	52.0	0.0	30.0	6.0	26.0	26.0	106.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
465433	0.0	24.0	23.0	15.0	11.0	17.0	0.0	0.0	18.0	0.0	9.0	78.0	0.0	20.0	0.0	25.0
275423	58.0	29.0	42.0	308.0	83.0	455.0	117.0	119.0	12.0	49.0	30.0	0.0	40.0	47.0	60.0	23.0
187807	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
275218	0.0	5.0	8.0	27.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
197706	25.0	42.0	43.0	31.0	44.0	120.0	0.0	34.0	7.0	16.0	9.0	0.0	30.0	37.0	12.0	11.0
196533	0.0	0.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
2797565	0.0	0.0	5.0	15.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
262272	224.0	0.0	103.0	0.0	213.0	117.0	0.0	0.0	11.0	0.0	0.0	0.0	18.0	0.0	27.0	31.0
344256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271602	0.0	23.0	0.0	33.0	19.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0
318162	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
276115	281.0	420.0	185.0	230.0	229.0	481.0	208.0	281.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
179907	77.0	31.0	24.0	108.0	54.0	80.0	75.0	105.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
3392840	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
262625	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	11.0	0.0	14.0	5.0
270391	25.0	223.0	175.0	174.0	83.0	121.0	0.0	47.0	79.0	48.0	28.0	108.0	84.0	75.0	67.0	50.0
270105	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196947	6.0	8.0	53.0	29.0	10.0	6.0	37.0	0.0	77.0	0.0	16.0	0.0	12.0	43.0	42.0	23.0
166664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
267633	172.0	45.0	75.0	206.0	55.0	145.0	103.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
452014	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
